id#,Job number,Title,Funder,Start date,End date,Duration,Project lead,Researcher 1,Researcher 2,DDR period
58,147,Ergonomic study of CAAD facilities,Property Services Agency,1974,1974,≤ 12 months,John Hughes,,,DDR
59,148,"Design, development and installation of police control consoles for Birmingham City Police/West Midlands Police",Home Office,1973,1976,≤ 3 years,John Wood,,,DDR
60,150,Investigation into the role of design in general education,Department of Education & Science,1973,1976,≤ 3 years,John Harahan,,,DDR
61,153,Evaluation of the performance of the HARNESS geriatric unit at North Tees District General Hospital,Department of Health,1974,1974,≤ 12 months,Bruce Archer,,,DDR
62,154,Equipment for improvements in meals for disabled home service,National Fund for Research into Crippling Diseases,1974,1975,≤ 12 months,Kenneth Agnew,,,DDR
63,156,Development of a computer-based cost advice system,Consortium for METHOD building,1976,1977,≤ 12 months,Pierre Goumain,,,DDR
64,158,Range of w.c. support systems,Loughborough University,Null,Null,Null,Douglas Tomkins,,,DDR
65,159,Manufacture and installation of police control consoles,Glasgow Corporation,1974,1975,≤ 12 months,John Wood,,,DDR
66,167,Toilet equipment for spina bifida children,Association for Spina Bifida and Hydrocephalus,1973,1976,≤ 3 years,Null,,,DDR
67,170,Analysis of architectural design activity in a working environment,Science Research Council,1971,1975,≤ 4 years,Craig Johnson,John Lifton-Zoline,,DDR
68,171,Designer-computer interaction in the early stages of design,Science Research Council,1975,1976,≤ 12 months,Pierre Goumain,George Mallen,Peter Sampson,DDR
69,172,Ergonomic and technical evaluation of control room consoles,Department of the Environment,1975,1976,≤ 12 months,Null,,,DDR
70,173,Domestic building products and tools,Home Office / British Steel Corporation,Null,Null,Null,Null,,,DDR
71,174,Ergonomic study of CAAD facilities,Department of the Environment,1974,1974,≤ 12 months,John Hughes,,,DDR
72,175,Implementation of Strathclyde Police-Divisional Control Rooms,Home Office,1976,1976,≤ 12 months,John Wood,,,DDR
73,176,Human factors in viewing systems,British Library,Null,Null,Null,Null,,,DDR
74,181,Recent developments in Design Research,Science Research Council,1977,1977,≤ 12 months,George Mallen,,,DDR
75,185,Maintenance service on police control consoles,Glasgow Corporation,Null,Null,Null,John Wood,,,DDR
76,187,Upgrading of hospital wards,National Fund for Research into Crippling Diseases,Null,Null,Null,Gillian Patterson,,,DDR
77,188,Performance Specification for emergency shelter,Ministry of Overseas Development,1976,1976,≤ 12 months,Kenneth Agnew,,,DDR
78,189,Melchett Award,Null,Null,Null,Null,Christine Mattieson,,,DDR
79,190,Installation of West Midlands police control consoles,Home Office,1975,1976,≤ 12 months,John Wood,,,DDR
80,193,Design guide for police control rooms,Home Office,Null,Null,Null,John Wood,,,DDR
81,194,Computer animation for body animation,Science Research Council,1978,1978,≤ 12 months,Stuart Hood,,,DDR
82,196,Building products,British Steel Corporation,1977,Null,Null,Kenneth Agnew,,,DDR
83,197,Applications of CEDAR,Department of the (;nvironment,1979,Null,Null,Peirre Goumain,,,DDR
84,198,Police control room specification,Home Office,Null,Null,Null,John Wood,,,DDR
85,199,Film design,Central Office of Information,Null,Null,Null,George Mallen,,,DDR
86,201,Design criteria for multi purpose industrial buildings,Building Research Establishment,1978,Null,Null,David Nixon,,,DDR
87,202,Fire hose reel for health buildings,Department of Health,1980,Null,Null,Richard Langdon,,,DDR
88,203,Passive solar gain in housing,ETSU,1980,Null,Null,Null,,,DDR
89,204,Chair for spina bifida child,Borough of Wandsworth,1980,Null,Null,Richard Langdon,,,DDR
90,205,Graphic information system,RCA,1981,Null,Null,Patrick Purcell,,,DDR
91,206,Design Research database for French CCIDOC,RCA,1981,Null,Null,Pierre Goumain,,,DDR
92,207,Evaluation of 22 private sector housing developments,WHICH?,1981,Null,Null,Sebastian Lera,,,DDR
